meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,paper_revision,paper_name,detailed_agendas,agendas,parties,url,is_true_gap,notes
1961,ATCM,1,ATCM I,wp,10,,,,,,,TRUE,Marked “cancelled” in list_of_docs_1961.pdf
1968,ATCM,5,ATCM V,wp,5,,,,,,,TRUE,Marked “Document not available” in list_of_docs_1968.pdf
1968,ATCM,5,ATCM V,wp,6,,,,,,,TRUE,Marked “Document not available” in list_of_docs_1968.pdf
1968,ATCM,5,ATCM V,wp,7,,,,,,,TRUE,Marked “Document not available” in list_of_docs_1968.pdf
1968,ATCM,5,ATCM V,wp,23,0,Records of the Antarctic Treaty Meeting of Experts on Logistics,4,ATCM 4,Australia,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/8/3/4/834c3d3a0d89863d8860e784b9e8438a80bec8cd3877e4f924fb8e049138fd31/b5f7aa95-1d44-490a-a073-2fb7cd564ba0-AU-ATADD-3-BB-AQ-311.pdf ,FALSE,"paper_name from list_of_docs_1968.pdf | agendas by reading FR by hand | no parties, use host country to match ATS"
1975,ATCM,8,ATCM VIII,wp,7,,,,,,,TRUE,Marked “This number does not appear to have been used” in list_of_docs_1975.pdf
1977,ATCM,9,ATCM IX,wp,2,0,"Final Report of the Special Prepatory Meeting for the Ninth Consultative Meeting of the Antarctic Treaty, Paris",5,ATCM 5,United Kingdom,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/2/b/f/2bffefe250e47aac0397e0c48b4a196c043b4b6946d054c46a16bc3067dbf833/ce1037b8-0905-4894-ac75-805bee3368cb-AU-ATADD-4-BB-AQ-282.pdf ,FALSE,paper_name from list_of_docs_1977.pdf | agendas from match to description in par. 1 of WP | no parties | use host country as parties to match ATS
1977,ATCM,9,ATCM IX,wp,86,0,"Opening Statement by Dr J A Heap, Delegation of the United Kingdom",1,ATCM 1,United Kingdom,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/a/d/9/ad9611742df15c575999c3792ff16893f7b5bcec918e3fdd354fb6528109bba5/43a8f36f-2b81-4ba5-bd48-b4a29b8a30f1-AU-ATADD-3-BB-AQ-300.pdf ,FALSE,"paper_name from list_of_docs_1977.pdf | no parties, agenda on WP front page | opening statements shouldn’t have parties (but see ATS, which gives the host country as party) | use host country as party to match ATS"
1979,ATCM,10,ATCM X,wp,45,,,,,,,TRUE,Marked “No document issued under this number” in list_of_docs_1979.pdf
1985,ATCM,13,ATCM XIII,wp,33,0,Re-issue of WP 31 Operation of the Antarctic Treaty System - Draft Recommendation,ATCM 5,ATCM 5,Belgium | Brazil,https://heritage.utas.edu.au/uploads/r/antarctic-documents-database/0/e/3/0e3565f035861aebe36e9494e950aa6126b3864350f9831e6bbe78bef56f712c/c6ebab7c-f49c-40cc-99f0-2a3ed3dc24d5-AU-ATADD-3-BB-AQ-425.pdf ,FALSE,paper_name from list_of_docs_1985.pdf | agendas and parties copied from WP 31
